DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	4p13	4	42045761		SLC30A9			ENSG00000014824			rs34215985-C	rs34215985	0	34215985	intron_variant	0	0.2651	1E-10	10.0		0.0246	[0.017-0.032] unit decrease	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	15q21.1	15	47392739		SEMA6D			ENSG00000137872			rs34488670-T	rs34488670	0	34488670	intron_variant	0	0.7856	1E-9	9.0		0.0228	[0.016-0.03] unit decrease	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	6p22.1	6	27870741		H1-5 - H3C11	ENSG00000184357	ENSG00000275379		3153	1104	rs35366602-?	rs35366602	0	35366602	regulatory_region_variant	1	0.8796	2E-20	19.69897000433602		0.0439	[0.035-0.053] unit increase	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	9q33.3	9	124240384		LHX2 - NEK6	ENSG00000106689	ENSG00000119408		207083	17222	rs35711908-A	rs35711908	0	35711908	intergenic_variant	1	0.3111	2E-8	7.698970004336019		0.0188	[0.012-0.025] unit increase	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	1q25.1	1	175998877		COP1			ENSG00000143207			rs35846379-A	rs35846379	0	35846379	intron_variant	0	0.3666	4E-11	10.397940008672037		0.022	[0.016-0.028] unit decrease	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	11q14.3	11	89023545		GRM5			ENSG00000168959			rs36006427-A	rs36006427	0	36006427	intron_variant	0	0.3847	6E-16	15.221848749616356		0.0261	[0.02-0.032] unit increase	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	21q22.3	21	45154639		ADARB1			ENSG00000197381			rs372519-A	rs372519	0	372519	intron_variant	0	0.5202	3E-8	7.522878745280337		0.0167	[0.011-0.023] unit increase	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	12q24.31	12	121184501		P2RX7			ENSG00000089041			rs3751143-A	rs3751143	0	3751143	missense_variant	0	0.8138	2E-8	7.698970004336019		0.0216	[0.014-0.029] unit decrease	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	5q31.3	5	140833925		PCDHA1, PCDHA5, PCDHA2, PCDHA4, PCDHA3, PCDHA6			ENSG00000204970, ENSG00000204965, ENSG00000204969, ENSG00000204967, ENSG00000255408, ENSG00000081842			rs3756335-A	rs3756335	0	3756335	intron_variant	0	0.4795	3E-9	8.522878745280337		0.018	[0.012-0.024] unit decrease	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	6q25.1	6	151880872		ESR1			ENSG00000091831			rs3757323-T	rs3757323	0	3757323	intron_variant	0	0.4041	9E-10	9.045757490560675		0.0204	[0.014-0.027] unit increase	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	13q32.2	13	98457562		STK24			ENSG00000102572			rs3783007-T	rs3783007	0	3783007	intron_variant	0	0.6378	7E-9	8.154901959985743		0.0181	[0.012-0.024] unit decrease	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	9p21.3	9	23737629		ELAVL2			ENSG00000107105			rs3793577-A	rs3793577	0	3793577	intron_variant	0	0.475	3E-11	10.522878745280337		0.0201	[0.014-0.026] unit decrease	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	5p14.1	5	26989352		CDH9			ENSG00000113100			rs3811921-T	rs3811921	0	3811921	intron_variant	0	0.504	1E-8	8.0		0.0172	[0.011-0.023] unit increase	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	4p16.3	4	3077210		HTT			ENSG00000197386			rs3905238-A	rs3905238	0	3905238	intron_variant	0	0.5711	4E-9	8.397940008672037		0.0178	[0.012-0.024] unit increase	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	7p22.3	7	1979235		MAD1L1			ENSG00000002822			rs3996329-A	rs3996329	0	3996329	intron_variant	0	0.1573	9E-13	12.045757490560675		0.0303	[0.022-0.039] unit decrease	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
2024-04-04	38177345	Meng X	2024-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38177345	Multi-ancestry genome-wide association study of major depression aids locus discovery, fine mapping, gene prioritization and causal inference.	Major depressive disorder (broad)	258,364 European ancestry cases, 571,252 European ancestry controls, 36,818 African ancestry cases, 161,679 African ancestry controls, 21,980 East Asian ancestry cases, 360,956 East Asian ancestry controls, 4,505 South Asian ancestry cases, 27,176 South Asian ancestry controls, 25,013 Hispanic or Latin American cases, 352,946 Hispanic or Latin American controls	NA	2q24.2	2	160678670		RBMS1 - RN7SL423P	ENSG00000153250	ENSG00000244372		184863	198877	rs4452156-A	rs4452156	0	4452156	intergenic_variant	1	0.7098	5E-8	7.301029995663981		0.0182	[0.012-0.025] unit decrease	Affymetrix, Illumina [22941580] (imputed)	N	major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	GCST90328131	Genome-wide genotyping array
